Upregulated
Ensembl_g_id	Ensembl_t_id	Ensembl_p_id	Gene_symbol	Symbol	Description	Fold	PPEE	case control expected_counts	
ENSRNOG00000013290	ENSRNOT00000065288	ENSRNOP00000059649	NRIP3	Nrip3	nuclear receptor interacting protein 3 [Source:RGD Symbol;Acc:1304777]	1.707680859	2.34E-09	14358	8163
ENSRNOG00000050278	ENSRNOT00000074361	ENSRNOP00000064718	LOC100911932	LOC100911932	endosialin-like [Source:RGD Symbol;Acc:6489729]	3735.397964	3.50E-09	37.9	0
ENSRNOG00000052685	ENSRNOT00000080189	ENSRNOP00000073587	AABR07006105.1	AABR07006105.1	-	3735.397964	3.50E-09	37.9	0
ENSRNOG00000001806	ENSRNOT00000048739	ENSRNOP00000051504	FETUB	Fetub	fetuin B [Source:RGD Symbol;Acc:69293]	5.891148423	4.19E-09	85	14
ENSRNOG00000030180	ENSRNOT00000050716	ENSRNOP00000048468	LRRC10B	Lrrc10b	leucine rich repeat containing 10B [Source:RGD Symbol;Acc:1564983]	1.757176546	4.46E-09	2304	1273
ENSRNOG00000026716	ENSRNOT00000076849	-	RPL9	Rpl9	ribosomal protein L9 [Source:RGD Symbol;Acc:62049]	1.820081139	8.65E-09	1226.82	654.41
ENSRNOG00000048239	ENSRNOT00000090868	ENSRNOP00000070273	CXCR1	Cxcr1	chemokine (C-X-C motif) receptor 1 [Source:RGD Symbol;Acc:2905]	2.896913984	1.05E-08	188	63
ENSRNOG00000049410	ENSRNOT00000075651	ENSRNOP00000067435	CHRM3	Chrm3	cholinergic receptor, muscarinic 3 [Source:RGD Symbol;Acc:2343]	1.745509759	1.37E-08	2037	1133
ENSRNOG00000032569	ENSRNOT00000046059	ENSRNOP00000051446	LINGO3	Lingo3	leucine rich repeat and Ig domain containing 3 [Source:RGD Symbol;Acc:1592209]	1.896843829	1.40E-08	803	411
ENSRNOG00000006631	ENSRNOT00000008936	ENSRNOP00000008936	SEMA3E	Sema3e	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E [Source:RGD Symbol;Acc:1310973]	1.832338904	1.42E-08	1072	568
ENSRNOG00000046449	ENSRNOT00000074351	ENSRNOP00000066713	LOC100912228	LOC100912228	pro-neuropeptide Y-like [Source:RGD Symbol;Acc:6487865]	2.028334981	1.54E-08	531.52	254.41
ENSRNOG00000030807	ENSRNOT00000058700	-	LOC100912427	LOC100912427	nuclease-sensitive element-binding protein 1-like [Source:RGD Symbol;Acc:6486912]	2.778883618	1.56E-08	199.66	69.75
ENSRNOG00000057729	ENSRNOT00000085027	ENSRNOP00000068545	STRIP2	Strip2	striatin interacting protein 2 [Source:MGI Symbol;Acc:MGI:2444363]	1.797848821	2.12E-08	1237	668
ENSRNOG00000050864	ENSRNOT00000026657	ENSRNOP00000026657	CPNE1	Cpne1	copine I [Source:RGD Symbol;Acc:1311148]	1.938058936	2.67E-08	651.27	326.25
ENSRNOG00000005278	ENSRNOT00000007461	ENSRNOP00000007461	TRHDE	Trhde	thyrotropin-releasing hormone degrading enzyme [Source:RGD Symbol;Acc:728895]	1.753023426	5.01E-08	1477	818
ENSRNOG00000005404	ENSRNOT00000007687	ENSRNOP00000007687	RASGRP1	Rasgrp1	RAS guanyl releasing protein 1 (calcium and DAG-regulated) [Source:RGD Symbol;Acc:3539]	1.64656246	8.72E-08	16288	9604
ENSRNOG00000024016	ENSRNOT00000054742	ENSRNOP00000051625	CYP2C6V1	Cyp2c6v1	cytochrome P450, family 2, subfamily C, polypeptide 6, variant 1 [Source:RGD Symbol;Acc:619934]	7.00529158	1.00E-07	65	9
ENSRNOG00000039197	ENSRNOT00000017217	ENSRNOP00000017217	COL15A1	Col15a1	collagen, type XV, alpha 1 [Source:RGD Symbol;Acc:1310820]	3184.598898	1.24E-07	32.31	0
ENSRNOG00000017307	ENSRNOT00000023239	ENSRNOP00000023239	PRSS23	Prss23	protease, serine, 23 [Source:RGD Symbol;Acc:1359545]	1.781343645	1.36E-07	1044	569
ENSRNOG00000014840	ENSRNOT00000020201	ENSRNOP00000020201	GNA14	Gna14	guanine nucleotide binding protein, alpha 14 [Source:RGD Symbol;Acc:1308122]	2.038783774	1.94E-07	420	200
ENSRNOG00000016267	ENSRNOT00000066711	ENSRNOP00000062156	CHST15	Chst15	carbohydrate (N-acetylgalactosamine 4-sulfate 6-O) sulfotransferase 15 [Source:RGD Symbol;Acc:628881]	1.774757518	1.94E-07	1031	564
ENSRNOG00000009571	ENSRNOT00000074054	ENSRNOP00000064597	WIPF3	Wipf3	WAS/WASL interacting protein family, member 3 [Source:RGD Symbol;Acc:708559]	1.625114539	3.16E-07	21228	12682
ENSRNOG00000045679	ENSRNOT00000074357	ENSRNOP00000065206	APOA1	Apoa1	apolipoprotein A-I [Source:RGD Symbol;Acc:2130]	4.528495711	3.19E-07	85.58	18.34
ENSRNOG00000011019	ENSRNOT00000015961	ENSRNOP00000015961	FAAH	Faah	fatty acid amide hydrolase [Source:RGD Symbol;Acc:61808]	3.018085673	3.65E-07	142.52	45.84
ENSRNOG00000037687	ENSRNOT00000067333	ENSRNOP00000062362	RSPO2	Rspo2	R-spondin 2 [Source:RGD Symbol;Acc:1562331]	1.65958095	4.12E-07	2535	1483
ENSRNOG00000037188	ENSRNOT00000087441	ENSRNOP00000069258	LOC100911833	LOC100911833	murinoglobulin-2-like [Source:RGD Symbol;Acc:6490587]	2.461699132	4.68E-07	212.57	83.83
ENSRNOG00000006889	ENSRNOT00000009248	ENSRNOP00000009248	AMBP	Ambp	alpha-1-microglobulin/bikunin precursor [Source:RGD Symbol;Acc:2102]	4.392721903	5.00E-07	86	19
ENSRNOG00000018214	ENSRNOT00000024526	ENSRNOP00000024526	BOK	Bok	BCL2-related ovarian killer [Source:RGD Symbol;Acc:70984]	1.678924319	8.60E-07	1629	942
ENSRNOG00000017791	ENSRNOT00000084919	ENSRNOP00000072043	ARHGAP12	Arhgap12	Rho GTPase activating protein 12 [Source:RGD Symbol;Acc:1310017]	1.660037646	9.28E-07	1980	1158
ENSRNOG00000020478	ENSRNOT00000078822	ENSRNOP00000072926	CAMK4	Camk4	calcium/calmodulin-dependent protein kinase IV [Source:RGD Symbol;Acc:2264]	1.724754343	1.01E-06	1089	613
ENSRNOG00000015616	ENSRNOT00000021596	ENSRNOP00000021596	RGS14	Rgs14	regulator of G-protein signaling 14 [Source:RGD Symbol;Acc:620003]	1.624943655	1.29E-06	3175	1897
ENSRNOG00000025406	ENSRNOT00000035017	ENSRNOP00000029373	IQGAP2	Iqgap2	IQ motif containing GTPase activating protein 2 [Source:RGD Symbol;Acc:2321734]	1.638047874	1.38E-06	2411	1429
ENSRNOG00000004731	ENSRNOT00000006349	ENSRNOP00000006349	ANO3	Ano3	anoctamin 3 [Source:RGD Symbol;Acc:1308873]	1.598169572	1.63E-06	8010	4866
ENSRNOG00000056062	ENSRNOT00000087232	ENSRNOP00000069206	AABR07002893.1	AABR07002893.1	-	3.901337435	2.07E-06	89.8	22.34
ENSRNOG00000022599	ENSRNOT00000060370	ENSRNOP00000057113	INTS1	Ints1	integrator complex subunit 1 [Source:RGD Symbol;Acc:1308908]	2739.230064	2.28E-06	27.79	0
ENSRNOG00000027264	ENSRNOT00000037624	ENSRNOP00000033416	DAGLA	Dagla	diacylglycerol lipase, alpha [Source:RGD Symbol;Acc:1359461]	1.589695225	2.37E-06	10327	6307
ENSRNOG00000021855	ENSRNOT00000050795	ENSRNOP00000043530	KCP	Kcp	kielin/chordin-like protein [Source:RGD Symbol;Acc:1561119]	2.249694893	2.43E-06	241	104
ENSRNOG00000054338	ENSRNOT00000079863	-	AC094221.1	AC094221.1	-	2724.450125	2.51E-06	27.64	0
ENSRNOG00000007030	ENSRNOT00000009899	ENSRNOP00000009899	EPHA7	Epha7	Eph receptor A7 [Source:RGD Symbol;Acc:70957]	1.60980049	2.68E-06	3225	1945
ENSRNOG00000049437	ENSRNOT00000074395	ENSRNOP00000066597	GPC1	Gpc1	glypican 1 [Source:RGD Symbol;Acc:61853]	1.589865116	3.04E-06	6208	3791
ENSRNOG00000027233	ENSRNOT00000009400	ENSRNOP00000009400	TRPC5	Trpc5	transient receptor potential cation channel, subfamily C, member 5 [Source:RGD Symbol;Acc:619787]	1.662526677	3.14E-06	1435	838
ENSRNOG00000022082	ENSRNOT00000036247	ENSRNOP00000030319	DUSP11	Dusp11	dual specificity phosphatase 11 (RNA/RNP complex 1-interacting) [Source:RGD Symbol;Acc:1307038]	2688.978271	3.17E-06	27.28	0
ENSRNOG00000026577	ENSRNOT00000016749	ENSRNOP00000016749	CPNE4	Cpne4	copine IV [Source:RGD Symbol;Acc:1308844]	1.584361528	3.63E-06	7368	4515
ENSRNOG00000059373	ENSRNOT00000088728	ENSRNOP00000069840	AC127013.1	AC127013.1	-	1.79620688	4.09E-06	624.47	337.53
ENSRNOG00000006526	ENSRNOT00000009132	ENSRNOP00000009132	SEMA3C	Sema3c	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C [Source:RGD Symbol;Acc:1309343]	1.654547244	4.59E-06	1423	835
ENSRNOG00000058793	ENSRNOT00000090457	ENSRNOP00000069673	AABR07027511.1	AABR07027511.1	-	2.24547358	4.69E-06	230.14	99.5
ENSRNOG00000015518	ENSRNOT00000021055	ENSRNOP00000021055	RBP4	Rbp4	retinol binding protein 4, plasma [Source:RGD Symbol;Acc:3546]	1.946781839	5.47E-06	383	191
ENSRNOG00000054795	ENSRNOT00000082683	-	AABR07041096.1	AABR07041096.1	-	1.710759448	6.82E-06	874	496
ENSRNOG00000053055	ENSRNOT00000083302	ENSRNOP00000068748	OTOP3	Otop3	otopetrin 3 [Source:RGD Symbol;Acc:1306663]	3.347043191	7.85E-06	100	29
ENSRNOG00000004026	ENSRNOT00000066174	ENSRNOP00000059397	ATP2B1	Atp2b1	ATPase, Ca++ transporting, plasma membrane 1 [Source:RGD Symbol;Acc:621303]	1.551647458	1.99E-05	17732	11095
ENSRNOG00000002024	ENSRNOT00000067439	ENSRNOP00000062326	EPHA5	Epha5	EPH receptor A5 [Source:RGD Symbol;Acc:620831]	1.559452863	2.11E-05	4377	2725
ENSRNOG00000047503	ENSRNOT00000090985	ENSRNOP00000074692	APOC3	Apoc3	apolipoprotein C-III [Source:RGD Symbol;Acc:2136]	3.088520266	2.11E-05	105	33
ENSRNOG00000046275	ENSRNOT00000057179	ENSRNOP00000054006	AABR07065493.1	AABR07065493.1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:D4A7S1]	2.623259891	2.14E-05	140.14	51.86
ENSRNOG00000057221	ENSRNOT00000087022	ENSRNOP00000071448	SCN3B	Scn3b	Sodium channel subunit beta-3  [Source:UniProtKB/Swiss-Prot;Acc:Q9JK00]	1.546217506	2.78E-05	19855	12467
ENSRNOG00000052510	ENSRNOT00000086375	ENSRNOP00000072067	WNT10A	Wnt10a	wingless-type MMTV integration site family, member 10A [Source:RGD Symbol;Acc:1307015]	2.426964774	3.44E-05	160	64
ENSRNOG00000026055	ENSRNOT00000016182	ENSRNOP00000016182	NEUROD6	Neurod6	neuronal differentiation 6 [Source:RGD Symbol;Acc:1562793]	1.544218964	3.47E-05	5990	3766
ENSRNOG00000009882	ENSRNOT00000047975	ENSRNOP00000049674	PPP3CA	Ppp3ca	protein phosphatase 3, catalytic subunit, alpha isozyme [Source:RGD Symbol;Acc:3382]	1.542421602	3.60E-05	22990	14471
ENSRNOG00000013123	ENSRNOT00000086349	ENSRNOP00000069415	SCUBE2	Scube2	signal peptide, CUB domain, EGF-like 2 [Source:RGD Symbol;Acc:1563998]	1.765198704	4.50E-05	520	286
ENSRNOG00000017969	ENSRNOT00000024243	ENSRNOP00000024243	OLFM3	Olfm3	olfactomedin 3 [Source:RGD Symbol;Acc:628672]	1.72916815	4.52E-05	602	338
ENSRNOG00000025074	ENSRNOT00000034521	ENSRNOP00000032735	FGG	Fgg	fibrinogen gamma chain [Source:RGD Symbol;Acc:2613]	5.027283983	4.78E-05	57	11
ENSRNOG00000002890	ENSRNOT00000003857	ENSRNOP00000003857	ANKRD45	Ankrd45	ankyrin repeat domain 45 [Source:RGD Symbol;Acc:1311153]	2270.213328	5.01E-05	23.03	0
ENSRNOG00000057744	ENSRNOT00000083920	-	AC112355.1	AC112355.1	-	1.930750742	5.10E-05	317.7	159.75
ENSRNOG00000028993	ENSRNOT00000042736	ENSRNOP00000041462	LOC102555453	LOC102555453	60S ribosomal protein L12-like [Source:RGD Symbol;Acc:7600399]	1.801390327	5.92E-05	442.64	238.56
ENSRNOG00000011646	ENSRNOT00000016020	ENSRNOP00000016020	REM2	Rem2	RAS (RAD and GEM) like GTP binding 2 [Source:RGD Symbol;Acc:69081]	1.711783274	7.67E-05	603	342
ENSRNOG00000002092	ENSRNOT00000002866	ENSRNOP00000002866	HUNK	Hunk	hormonally upregulated Neu-associated kinase [Source:RGD Symbol;Acc:1565091]	1.844616393	0.000111577	361	190
ENSRNOG00000001809	ENSRNOT00000047595	ENSRNOP00000049290	HRG	Hrg	histidine-rich glycoprotein [Source:RGD Symbol;Acc:619808]	3.774101723	0.000132686	70	18
ENSRNOG00000011124	ENSRNOT00000014788	-	AABR07067267.1	AABR07067267.1	-	2121.428607	0.000134064	21.52	0
ENSRNOG00000000158	ENSRNOT00000000172	ENSRNOP00000000172	CDO1	Cdo1	cysteine dioxygenase type 1 [Source:RGD Symbol;Acc:69262]	1.530041511	0.000169773	2791	1771
ENSRNOG00000018485	ENSRNOT00000025158	ENSRNOP00000025158	GPR155	Gpr155	G protein-coupled receptor 155 [Source:RGD Symbol;Acc:1309162]	1.520036948	0.000172726	3864	2468
ENSRNOG00000018257	ENSRNOT00000024710	ENSRNOP00000024710	HPX	Hpx	hemopexin [Source:RGD Symbol;Acc:62040]	2.780947923	0.000174432	106	37
ENSRNOG00000003119	ENSRNOT00000004174	ENSRNOP00000004174	GC	Gc	group specific component [Source:RGD Symbol;Acc:2667]	2.230221918	0.0002001	170	74
ENSRNOG00000013213	ENSRNOT00000041689	ENSRNOP00000051316	EPHA4	Epha4	Eph receptor A4 [Source:RGD Symbol;Acc:1560587]	1.507735268	0.000200269	12270	7901
ENSRNOG00000023896	ENSRNOT00000037844	ENSRNOP00000032969	DUSP6	Dusp6	dual specificity phosphatase 6 [Source:RGD Symbol;Acc:70978]	1.563450408	0.000208255	1430	888
ENSRNOG00000015544	ENSRNOT00000020932	ENSRNOP00000020932	TUBA1C	Tuba1c	tubulin, alpha 1C [Source:RGD Symbol;Acc:1307226]	3.845144754	0.000209961	66.09	16.68
ENSRNOG00000028417	ENSRNOT00000038833	-	AC142182.1	AC142182.1	-	1.523339183	0.000228282	2818	1796
ENSRNOG00000060773	ENSRNOT00000083072	ENSRNOP00000073882	SERTAD4	Sertad4	SERTA domain containing 4 [Source:MGI Symbol;Acc:MGI:2443496]	1.693647852	0.000237466	553	317
ENSRNOG00000007687	ENSRNOT00000010620	ENSRNOP00000010620	SEMA7A	Sema7a	semaphorin 7A, GPI membrane anchor [Source:RGD Symbol;Acc:1305192]	1.50465973	0.000257613	6224	4016
ENSRNOG00000014061	ENSRNOT00000018889	ENSRNOP00000018889	DUSP5	Dusp5	dual specificity phosphatase 5 [Source:RGD Symbol;Acc:620854]	1.676944252	0.000261573	589	341
ENSRNOG00000046540	ENSRNOT00000052369	ENSRNOP00000043239	UGT2B15	Ugt2b15	UDP glucuronosyltransferase 2 family, polypeptide B15 [Source:RGD Symbol;Acc:628623]	3.493916966	0.000298119	72	20
ENSRNOG00000001658	ENSRNOT00000066940	ENSRNOP00000059308	KCNJ6	Kcnj6	potassium channel, inwardly rectifying subfamily J, member 6 [Source:RGD Symbol;Acc:2959]	1.523667564	0.000402777	2081	1326
ENSRNOG00000039832	ENSRNOT00000061129	ENSRNOP00000057844	GPR12	Gpr12	G protein-coupled receptor 12 [Source:RGD Symbol;Acc:68333]	1.656178348	0.000402804	609	357
ENSRNOG00000030840	ENSRNOT00000046370	ENSRNOP00000040899	CADM2	Cadm2	cell adhesion molecule 2 [Source:RGD Symbol;Acc:1305678]	1.510492227	0.000438095	2718	1747
ENSRNOG00000013042	ENSRNOT00000017411	ENSRNOP00000017411	HTR1B	Htr1b	5-hydroxytryptamine (serotonin) receptor 1B, G protein-coupled [Source:RGD Symbol;Acc:2846]	1.731361559	0.000482399	428	240
ENSRNOG00000004423	ENSRNOT00000005849	ENSRNOP00000005849	ZFP238	Zfp238	zinc finger protein 238 [Source:RGD Symbol;Acc:621548]	1.489719036	0.000506371	8539	5565
ENSRNOG00000047686	ENSRNOT00000074492	-	AABR07049887.1	AABR07049887.1	-	1.507200378	0.000516169	2695	1736
ENSRNOG00000048243	ENSRNOT00000071685	ENSRNOP00000066584	HS6ST3	Hs6st3	heparan sulfate 6-O-sulfotransferase 3 [Source:RGD Symbol;Acc:1305888]	1.779074926	0.000521703	361	197
ENSRNOG00000033942	ENSRNOT00000044626	ENSRNOP00000042235	GRIN2A	Grin2a	glutamate receptor, ionotropic, N-methyl D-aspartate 2A [Source:RGD Symbol;Acc:2737]	1.488859086	0.000583449	5832	3803
ENSRNOG00000058626	ENSRNOT00000087331	ENSRNOP00000074122	KCNH8	Kcnh8	potassium channel, voltage gated eag related subfamily H, member 8 [Source:RGD Symbol;Acc:2549]	2.818087956	0.000855671	90	31
ENSRNOG00000011815	ENSRNOT00000016121	ENSRNOP00000016121	SGK1	Sgk1	serum/glucocorticoid regulated kinase 1 [Source:RGD Symbol;Acc:3668]	1.49001918	0.000930631	3094	2016
ENSRNOG00000028650	ENSRNOT00000018225	ENSRNOP00000018225	INF2	Inf2	inverted formin, FH2 and WH2 domain containing [Source:MGI Symbol;Acc:MGI:1917685]	1.493606705	0.000951398	2703	1757
ENSRNOG00000049192	ENSRNOT00000071650	ENSRNOP00000064623	HMGN5	Hmgn5	high mobility group nucleosome binding domain 5 [Source:RGD Symbol;Acc:6497694]	1813.020543	0.001039965	18.39	0
ENSRNOG00000011071	ENSRNOT00000015057	ENSRNOP00000015057	NT5E	Nt5e	5' nucleotidase, ecto [Source:RGD Symbol;Acc:61956]	1.712777234	0.001153411	404	229
ENSRNOG00000046867	ENSRNOT00000074301	ENSRNOP00000065656	ZFP260	Zfp260	zinc finger protein 260 [Source:RGD Symbol;Acc:621205]	1.993195126	0.001303712	197.98	96.43
ENSRNOG00000012278	ENSRNOT00000016485	ENSRNOP00000016485	FGF10	Fgf10	fibroblast growth factor 10 [Source:RGD Symbol;Acc:2606]	2.448925309	0.001572893	111	44
ENSRNOG00000005478	ENSRNOT00000007821	ENSRNOP00000007821	FKBP9	Fkbp9	FK506 binding protein 9 [Source:RGD Symbol;Acc:1549757]	1.503134145	0.001716651	1621	1047
ENSRNOG00000015076	ENSRNOT00000020505	ENSRNOP00000020505	CYP26B1	Cyp26b1	cytochrome P450, family 26, subfamily b, polypeptide 1 [Source:RGD Symbol;Acc:631379]	1.619056874	0.001842	567	340
ENSRNOG00000015267	ENSRNOT00000020940	ENSRNOP00000020940	ALDH18A1	Aldh18a1	aldehyde dehydrogenase 18 family, member A1 [Source:RGD Symbol;Acc:1311431]	1.563606087	0.001888311	806.97	501.06
ENSRNOG00000029012	ENSRNOT00000057509	ENSRNOP00000054317	SHISA6	Shisa6	shisa family member 6 [Source:RGD Symbol;Acc:1564618]	1.502907666	0.001941919	1548	1000
ENSRNOG00000011977	ENSRNOT00000085094	ENSRNOP00000074231	SEMA5A	Sema5a	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A [Source:RGD Symbol;Acc:1308650]	1.46317206	0.001950707	10768	7145
ENSRNOG00000017021	ENSRNOT00000022984	ENSRNOP00000022984	GALNT18	Galnt18	polypeptide N-acetylgalactosaminyltransferase 18 [Source:RGD Symbol;Acc:1309623]	1.519081501	0.002002714	1222	781
ENSRNOG00000005561	ENSRNOT00000007578	ENSRNOP00000007578	BRINP1	Brinp1	bone morphogenetic protein/retinoic acid inducible neural-specific 1 [Source:RGD Symbol;Acc:708519]	1.461488219	0.002151988	6491	4312
ENSRNOG00000048016	ENSRNOT00000089451	ENSRNOP00000075445	MFF	Mff	mitochondrial fission factor [Source:RGD Symbol;Acc:1310230]	2.683545472	0.002865922	87.14	31.52
ENSRNOG00000005034	ENSRNOT00000006800	ENSRNOP00000006800	ARHGEF25	Arhgef25	Rho guanine nucleotide exchange factor (GEF) 25 [Source:RGD Symbol;Acc:735210]	1.463505312	0.003034979	3152	2091
ENSRNOG00000060614	ENSRNOT00000079891	ENSRNOP00000069815	PXDN	Pxdn	peroxidasin homolog (Drosophila) [Source:MGI Symbol;Acc:MGI:1916925]	1.504730208	0.00305306	1274	822
ENSRNOG00000006979	ENSRNOT00000009153	ENSRNOP00000009153	HPCA	Hpca	hippocalcin [Source:RGD Symbol;Acc:620060]	1.467015299	0.003181095	49476.05	32743.35
